absent,id,name,size,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7,letter_8,letter_9,letter_10,letter_11,letter_12,letter_13,letter_14,letter_15,letter_16,letter_17,letter_18,letter_19,letter_20,letter_21,rotation_1,rotation_2,rotation_3,rotation_4,rotation_5,rotation_6,rotation_7,rotation_8,rotation_9,rotation_10,rotation_11,rotation_12,rotation_13,rotation_14,rotation_15,rotation_16,rotation_17,rotation_18,rotation_19,rotation_20,rotation_21,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21
false,1,21_present_1.jpg,21,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,180,180,,270,90,,180,,180,90,,,,270,270,270,180,180,270,,180,575.4819910969205,1229.440607528313,419.4219763229751,1872.9463564382386,2160.245485042379,958.304660294161,1403.0572065343656,296.3342754040217,2000.586681387727,1528.1137023979,1604.463836318384,2064.211551697714,509.5444049584671,308.353010970279,1346.3334090031815,1821.6432497648448,1149.9781486431782,1839.836308913349,1276.088695610428,1032.5227215430755,317.10012808005496,771.4987370611773,117.11016773231941,783.923893574754,1044.355659908489,71.19106275404158,927.0987780545476,206.08509712162882,932.5935317498752,81.23187588919944,426.449382988735,285.19243221120206,815.5697300634835,98.02626000059017,474.9678562220608,1041.5044968411783,832.6350725409765,961.1213124426638,136.2646129433015,537.8821670942541,377.3773062294847,1111.6506512808037
true,1,21_absent_1.jpg,21,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,180,,180,180,270,180,180,270,270,90,180,180,90,270,,90,270,,270,270,180,173.4943252886481,1715.0218554841595,1499.5712900889414,1444.969104430585,1443.9650541492165,1857.896767261275,2004.7157075222904,54.83931952343531,2097.962721277608,2075.814292529619,820.2023422982536,1087.814843846737,918.1828450344982,767.8435046070915,1690.1970172518097,1715.1265473572478,1033.9401035696178,1090.9413237750036,497.7254568537139,511.0066657239207,319.3974053252284,1054.7715832531965,584.1468634797556,539.4275218272121,1033.2540882505639,41.790917784085835,34.91419280957281,974.5425395732052,714.2325317862955,521.2365206969857,745.9642740115721,1079.6953402246722,340.54311477108604,194.98614868922738,520.8068143256436,218.7997248977408,1128.216987007453,789.7248863418552,950.7316711892172,1177.9547911254197,790.6997767431678,599.4362645449633
false,2,21_present_2.jpg,21,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,90,270,270,180,90,180,270,,180,90,270,180,270,90,,,270,90,270,270,90,1038.521053290702,1897.317933615189,1086.8570401884972,166.09718913934844,1496.128399548392,1328.999706011124,599.7740897885891,1720.0069071811788,744.4560112650494,2051.884238074194,404.84273967341915,1292.8340841014156,1707.9070665215545,1573.1297162324472,731.8929858157438,621.8260350905974,1871.8733347750713,299.83411258135925,957.221521363767,1494.7943595428285,1477.061181063833,894.6203071123191,158.21393198044208,1158.2504871703156,209.06163862568272,425.71030257142564,78.89344426604272,660.6928063645822,142.6576153941031,461.5383186684857,472.6779751248042,930.9920024478677,692.5841256215421,740.91520190843,650.1415338204982,873.9880717273157,116.31746540862991,966.5846866593461,672.0987954153923,44.43791868747271,1055.8464408524426,42.768339302670654
true,2,21_absent_2.jpg,21,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,270,180,270,180,,,90,90,270,270,270,180,270,90,90,,180,270,270,,180,1638.11749239182,576.6990110277303,2108.4756753742126,866.0873005576366,1419.4057575903455,358.3492913330566,432.2851073446946,1226.4982785886511,1002.7793640676888,688.384685554958,924.8846504373381,682.0398515003563,257.1612473148497,1642.2792996175224,675.6863431330438,1173.1716476093607,68.48200491855594,1457.0196123785406,1008.4137046558735,1422.4845598052705,1195.8958095026464,1071.1416829552825,237.24176389789298,775.8214724449705,570.5764779073425,288.5471467293646,1122.0702879035532,888.0492605935111,525.7528618746974,1116.7372504414336,357.8902611219831,193.02893072030452,588.0436165478143,335.49111933508266,492.1340594995757,974.9376544726629,99.41438527898889,92.25176911034416,681.5759173915422,898.129244444173,505.1855905946037,1165.2509327738746
false,3,21_present_3.jpg,21,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,270,90,270,,,,180,270,,90,270,270,270,270,270,90,90,,90,180,270,1638.4807054694757,906.7620466668445,1789.4944898944846,1270.7490893319075,1202.8383745777712,1748.7471426299458,1295.6812544220413,191.68506570553166,1588.5300919837096,462.20687805753886,637.5120617452134,1052.3452463763565,1819.477494106379,1911.579061212576,1349.2334080997725,361.2795148094397,1642.153348749946,1278.950257153713,720.5760409127391,706.335071867876,1935.248096404307,550.7300032851092,407.413817323565,673.8357468424733,867.7807250869049,1065.4344334985174,1005.9792006750581,67.52022920388234,390.87515829993066,850.8673276337813,1063.7010576592854,963.3998315641002,341.0955576939986,1168.3861769801567,33.87451224552085,1155.1762431343402,545.7807482858653,271.993265939047,409.70796686427695,208.34700671293976,396.04757514089954,364.6647267322914
true,3,21_absent_3.jpg,21,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,90,270,90,270,,,270,180,90,90,180,,180,,180,,,,,90,270,1518.574011735158,752.3492017501455,1287.4632191187595,2059.5478147182657,177.35061167270376,1898.2353034973264,596.2569586770413,845.7542451829441,562.7449560329269,1014.7820564031001,802.927559705755,1317.003412581307,422.7239296300771,1915.3842811435181,1588.7266360320732,1137.120838993378,264.7608799989082,1651.3317386201927,138.55983015173243,2059.797371684473,1842.3274979605887,300.4566287263979,694.0349274789434,1041.1399164583559,1020.0921139650765,1043.7292035154858,631.1905814419861,840.615610910333,558.6162008104126,352.37724544384065,91.51304966347446,902.1690107787025,734.7168795327608,561.1283696175865,963.0625773361672,1044.9949486138698,310.87324796494175,55.41816720848025,464.6817926076094,258.5920637513336,1193.0351139367856,822.7400754499329
false,4,21_present_4.jpg,21,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,270,270,270,,180,90,270,,270,90,180,270,270,270,,270,180,90,90,,90,1258.1902261846346,39.20109271049896,158.40731392052575,378.51273912811945,285.2876939444153,933.2744766728965,1429.6243255522181,509.0880150034739,681.7252859693042,2104.4263688815995,2040.9611303891056,715.0098554968548,1686.0710690188707,1030.8286121961673,1965.1834579951337,1102.5958278872404,400.79771383740837,1121.2810451324933,1829.9003152653356,1409.3265155574315,1585.3387687088873,326.5523926579547,500.6449983887393,855.2566731586114,55.31174544294942,250.85109969309073,212.0302437727381,791.147990336086,213.76670577322093,359.10042598556265,141.5822194201974,1193.3388072113726,54.4742975601592,873.0850098616769,843.2796791542055,373.03794827822867,1002.3305422878906,718.6236331106305,708.7422452592162,1066.2752579411635,989.790586765906,558.3874540833775
true,4,21_absent_4.jpg,21,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,180,270,270,180,180,90,,90,180,270,270,90,,270,180,90,,270,90,,,1058.0610146307138,657.3993933775193,250.38315364431094,2144.496188221976,413.31664592161934,1361.4981688414348,1152.9767667568349,1063.591668245397,103.77296526494541,558.2098410143544,1797.8715157033193,2063.061641590578,1864.5478985015263,741.499697707243,1888.8918045226314,79.99852299059573,998.7559402154876,1530.3229102203372,361.54769928713057,1619.5483682511947,1860.288732389117,826.850032902073,247.97765339409943,1131.2626613337573,507.1492888957907,321.28944622879936,540.2023115742766,302.57266591291494,987.9939703389964,989.6672804371536,723.0096274924102,398.3131639159826,336.02987123374726,546.0886295171799,471.1499837010308,32.11128943446079,305.6127675472059,235.681090843724,591.1099251143117,681.6412902734439,772.1479866653897,795.3116833406565
false,5,21_present_5.jpg,21,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,,180,180,,180,90,270,270,180,270,270,270,180,,270,90,90,90,,90,90,243.95166748616276,667.8656060795302,160.38958807010215,893.8397211318799,235.34729454237765,234.76551387971566,1575.2040693373217,2042.441648618168,995.2345851384426,383.47153239336467,1305.360551177183,1941.8878682885836,841.9445869880158,1842.2467451790403,1345.4214226320648,1342.7104656928075,103.97802474945301,1357.166394533893,1044.1496164301734,991.2102028133678,1761.709399269285,817.5356115304483,743.2902996388125,1156.4387950388605,212.4908358159286,519.9310689850914,77.94494252733014,400.15854301473973,820.8517119217809,784.024167271767,1036.774292781328,779.8626720028001,172.98687019175225,44.28348253897346,358.91505628027676,202.9457170016638,1086.975069854617,894.9957787721319,463.51763357247637,236.49143420872792,945.6199899597854,832.5572610634935
true,5,21_absent_5.jpg,21,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,270,270,270,180,90,,90,180,180,270,,90,90,270,,,90,90,270,270,,1391.7514786402005,1656.0837227921957,1007.9475143155331,693.7353553016791,1917.7805326238442,892.5077441761207,927.2018554607066,454.6099205585959,2131.468549455334,1201.8956087579352,1710.4808968939617,1966.894329429125,757.1587014423322,2072.001254224504,1986.0655500629446,704.7720147450265,1121.8049624139062,208.44359063080304,663.595052425782,1627.8699932469115,886.9408339463099,416.13378407235973,252.08280006591255,1184.396488096206,608.3139594950774,348.56276524923265,350.27984935595003,125.33595203312319,296.68113381782626,556.3209660117527,1175.845984024231,1164.7857722113708,1079.7686929106503,1206.5082485447444,964.2080050602669,168.0376796421887,413.7479092601604,620.0909353009554,339.6405374011005,893.1987979829048,648.9502351791529,810.1497614532568
